#Age   [M/H] slope  CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD    TiO1   TiO2    HdA    HgA   HdF    HgF   D4000   CaT*   PaT    CaT    sTiO   MgI   D_CO
#===========================================================================================================================================================================================================================---------------------
 0.56 -1.31  0.30 -0.087 -0.042  0.030 -0.965 -0.727  0.105  0.717 -0.094  4.904  1.577  0.019  0.068  0.787  0.510  0.640  0.408  0.280  0.185  1.631  0.034  0.046  7.142  6.326  5.401  5.486  1.444  5.785  2.202  7.833  0.984  0.433  1.157
 0.63 -1.31  0.30 -0.080 -0.035  0.064 -0.762 -0.571  0.140  0.796 -0.059  4.818  1.672  0.020  0.068  0.860  0.587  0.690  0.436  0.297  0.198  1.624  0.034  0.045  6.936  5.910  5.240  5.238  1.471  5.779  2.007  7.646  0.983  0.437  1.155
 0.71 -1.31  0.30 -0.076 -0.032  0.080 -0.693 -0.512  0.156  0.831 -0.072  4.828  1.690  0.019  0.066  0.881  0.611  0.694  0.430  0.301  0.199  1.578  0.032  0.043  6.890  5.823  5.191  5.163  1.489  5.686  1.967  7.515  0.981  0.429  1.152
 0.79 -1.31  0.30 -0.071 -0.029  0.105 -0.591 -0.439  0.178  0.884 -0.072  4.798  1.741  0.019  0.066  0.910  0.651  0.717  0.440  0.308  0.204  1.558  0.032  0.042  6.822  5.706  5.117  5.073  1.509  5.675  1.921  7.461  0.979  0.428  1.150
 0.89 -1.31  0.30 -0.067 -0.027  0.131 -0.482 -0.369  0.199  0.936 -0.069  4.750  1.794  0.019  0.066  0.937  0.690  0.740  0.451  0.316  0.209  1.540  0.032  0.041  6.742  5.567  5.045  4.972  1.524  5.676  1.874  7.419  0.979  0.427  1.148
 1.00 -1.31  0.30 -0.065 -0.026  0.149 -0.359 -0.305  0.217  0.982 -0.087  4.692  1.834  0.019  0.066  0.943  0.721  0.745  0.449  0.324  0.211  1.504  0.031  0.039  6.655  5.424  4.956  4.866  1.540  5.636  1.846  7.353  0.977  0.421  1.145
 1.12 -1.31  0.30 -0.061 -0.024  0.168 -0.240 -0.226  0.238  1.032 -0.084  4.631  1.879  0.018  0.066  0.971  0.756  0.760  0.453  0.330  0.216  1.483  0.030  0.038  6.565  5.282  4.876  4.766  1.559  5.615  1.821  7.308  0.976  0.419  1.143
 1.26 -1.31  0.30 -0.065 -0.025  0.212  0.239 -0.015  0.302  1.182 -0.025  4.302  2.091  0.018  0.067  1.014  0.873  0.815  0.492  0.360  0.231  1.438  0.030  0.039  6.130  4.496  4.545  4.306  1.596  5.745  1.643  7.273  0.975  0.429  1.142
 1.41 -1.31  0.30 -0.064 -0.027  0.253  0.380  0.073  0.347  1.292  0.080  4.188  2.274  0.018  0.072  1.090  0.971  0.884  0.551  0.384  0.258  1.485  0.032  0.043  6.084  4.281  4.535  4.192  1.613  6.021  1.560  7.472  0.978  0.456  1.146
 1.58 -1.31  0.30 -0.065 -0.027  0.239  0.333  0.005  0.325  1.247 -0.023  4.271  2.165  0.015  0.065  1.048  0.908  0.813  0.492  0.371  0.235  1.361  0.029  0.036  6.194  4.434  4.596  4.264  1.617  5.731  1.661  7.275  0.973  0.424  1.139
