#Age      [M/H]   OII3727       HdA       HdF       CN1       CN2    Ca4227     G4300       HgA       HgF   HgVA125   HgVA200   HgVA275    Fe4383    Ca4455    Fe4531     C4668     Hbeta   Hbeta_p    OIII_1    OIII_2  OIII_2ne    Fe5015       Mg1       Mg2   Mgb5177    Fe5270    Fe5335    Fe5406    Fe5709    Fe5782    Na5895      TiO1      TiO2
00.0708   -1.71	  1.6691    5.7419	4.2920   -0.1111   -0.0735    0.0461   -1.1723    5.7182    4.3847    0.0786	0.0556    0.0417   -0.1638    0.3213	0.1862   -0.0001    4.4546    4.0333   -0.3454    0.1595    0.0021    0.7551	0.0072    0.0152    0.1235    0.1650	0.2050    0.0958    0.0463    0.1044	0.5113    0.0066    0.0006
00.0794   -1.71	  1.6970    5.9782	4.4442   -0.1162   -0.0774    0.0413   -1.2230    5.9548    4.5393    0.0818	0.0579    0.0435   -0.2172    0.3036	0.1973   -0.0545    4.6025    4.1730   -0.3479    0.1524    0.0018    0.7466	0.0072    0.0161    0.1302    0.1650	0.2050    0.1044    0.0476    0.1037	0.5098    0.0063    0.0008
00.0891   -1.71	  1.7415    6.2198	4.5829   -0.1222   -0.0831    0.0451   -1.2683    6.1846    4.6644    0.0833	0.0589    0.0442   -0.3478    0.2558	0.2070   -0.0428    4.7064    4.2831   -0.3266    0.1409    0.0017    0.7014	0.0078    0.0171    0.1476    0.1675	0.2055    0.1042    0.0506    0.1044	0.5099    0.0060    0.0008
00.1000   -1.71	  1.7308    6.3458	4.6662   -0.1257   -0.0862    0.0425   -1.2784    6.3116    4.7378    0.0846	0.0598    0.0449   -0.4338    0.2194	0.2038   -0.0602    4.7631    4.3421   -0.3082    0.1316    0.0016    0.6694	0.0082    0.0178    0.1561    0.1604	0.1994    0.1068    0.0550    0.1032	0.4891    0.0056    0.0008
00.1122   -1.71	  1.7544    5.9737	4.4146   -0.1177   -0.0789    0.0920   -0.5823    5.2657    4.1865    0.0769	0.0546    0.0411   -0.1581    0.2524	0.5858    0.2405    3.9878    3.6945   -0.3202    0.2933    0.0060    1.3087	0.0163    0.0416    0.4104    0.5581	0.5152    0.3139    0.2710    0.2009	0.7371    0.0108    0.0183
00.1259   -1.71	  1.7492    6.1502	4.5065   -0.1218   -0.0825    0.0996   -0.5745    5.3719    4.2395    0.0777	0.0551    0.0415   -0.2221    0.2348	0.6091    0.2407    3.9925    3.7104   -0.3135    0.2935    0.0062    1.3125	0.0168    0.0436    0.4431    0.5790	0.5317    0.3243    0.2808    0.2053	0.7400    0.0113    0.0201
00.1413   -1.71	  1.7675    6.2806	4.5755   -0.1256   -0.0864    0.1022   -0.5794    5.4750    4.2856    0.0779	0.0553    0.0416   -0.3004    0.2062	0.6016    0.2477    4.0147    3.7404   -0.3118    0.2775    0.0059    1.2768	0.0167    0.0434    0.4550    0.5813	0.5272    0.3183    0.2773    0.2064	0.7467    0.0110    0.0188
00.1585   -1.71	  1.9127    6.4686	4.6718   -0.1303   -0.0910    0.1041   -0.5757    5.5954    4.3454    0.0783	0.0556    0.0418   -0.3684    0.1839	0.6032    0.2743    4.0379    3.7723   -0.3214    0.2650    0.0059    1.2620	0.0160    0.0424    0.4600    0.5888	0.5326    0.3123    0.2737    0.2053	0.7754    0.0106    0.0167
00.1778   -1.71	  1.9458    6.4957	4.6990   -0.1308   -0.0914    0.1089   -0.5526    5.5975    4.3654    0.0789	0.0560    0.0421   -0.3571    0.1725	0.6132    0.2852    4.0501    3.7814   -0.3137    0.2648    0.0058    1.2582	0.0165    0.0435    0.4812    0.5895	0.5423    0.3150    0.2744    0.2083	0.7617    0.0112    0.0182
00.1995   -1.71	  1.9478    6.5549	4.7439   -0.1317   -0.0912    0.1124   -0.5377    5.6134    4.3904    0.0800	0.0568    0.0428   -0.3625    0.1586	0.6250    0.2829    4.0573    3.7878   -0.2943    0.2769    0.0061    1.2733	0.0177    0.0466    0.5099    0.5983	0.5525    0.3308    0.2871    0.2185	0.7859    0.0123    0.0216
00.2239   -1.71	  2.1610    6.9074	4.9474   -0.1396   -0.0976    0.1093   -0.6548    5.9891    4.5951    0.0834	0.0594    0.0448   -0.4906    0.1433	0.6179    0.2794    4.2194    3.9482   -0.3120    0.2616    0.0064    1.2511	0.0169    0.0456    0.5039    0.5913	0.5443    0.3275    0.2778    0.2162	0.7847    0.0119    0.0201
00.2512   -1.71	  2.2181    7.1393	5.0777   -0.1444   -0.1023    0.1051   -0.7516    6.2356    4.7401    0.0854	0.0607    0.0457   -0.5434    0.1375	0.6101    0.2439    4.3519    4.0680   -0.3239    0.2500    0.0059    1.2130	0.0161    0.0453    0.5046    0.5768	0.5325    0.3265    0.2677    0.2161	0.7692    0.0122    0.0205
00.2818   -1.71	  2.2752    7.5124	5.2702   -0.1528   -0.1104    0.0998   -0.8951    6.6440    4.9534    0.0887	0.0631    0.0477   -0.6692    0.1327	0.5951    0.2233    4.5273    4.2373   -0.3463    0.2354    0.0059    1.1729	0.0149    0.0438    0.5003    0.5600	0.5163    0.3156    0.2540    0.2129	0.7604    0.0123    0.0202
00.3162   -1.71	  2.2598    7.5511	5.3006   -0.1539   -0.1118    0.0953   -0.9208    6.6795    4.9790    0.0884	0.0627    0.0471   -0.6766    0.1226	0.5574    0.1924    4.5911    4.2805   -0.3447    0.2008    0.0045    1.0621	0.0140    0.0408    0.4814    0.5247	0.4891    0.2877    0.2316    0.1921	0.7181    0.0123    0.0184
00.3548   -1.71	  2.3302    7.8039	5.4465   -0.1592   -0.1166    0.0984   -0.9855    6.9272    5.1007    0.0905	0.0643    0.0485   -0.7450    0.1227	0.5347    0.2542    4.6669    4.3555   -0.3634    0.1824    0.0042    1.0391	0.0145    0.0393    0.4678    0.5290	0.4814    0.2697    0.2267    0.1775	0.7295    0.0121    0.0177
00.3981   -1.71	  2.2573    7.9635	5.4858   -0.1634   -0.1213    0.1015   -0.9761    7.0475    5.1339    0.0909	0.0648    0.0490   -0.8335    0.1191	0.5490    0.2746    4.6673    4.3722   -0.3810    0.1811    0.0045    1.0431	0.0141    0.0392    0.4822    0.5324	0.4922    0.2701    0.2286    0.1714	0.7186    0.0120    0.0180
00.4467   -1.71	  2.3061    8.0542	5.5343   -0.1653   -0.1232    0.1015   -0.9880    7.1313    5.1765    0.0915	0.0652    0.0494   -0.8554    0.1130	0.5466    0.3326    4.6907    4.3964   -0.4022    0.1671    0.0042    1.0258	0.0155    0.0390    0.4586    0.5354	0.4876    0.2672    0.2236    0.1642	0.7220    0.0119    0.0169
